"Time","Whole","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima","Okinawa"
10,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
11,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
12,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
13,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
14,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
15,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
16,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
18,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
19,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
20,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
21,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
23,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
24,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
25,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
26,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600033308,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
27,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
28,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
29,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,NAN,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
30,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,NAN,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
31,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
32,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
33,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
34,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.500023263,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
35,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,NAN,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
36,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
37,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263
38,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.056756405,1.363391341,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263
39,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.056756405,1.363391341,NAN,NAN,0.833529691,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,0.500023263
40,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.056756405,1.363391341,NAN,NAN,0.833529691,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,0.500023263
41,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.056756405,1.149429066,NAN,NAN,0.833529691,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,0.500023263
42,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.056756405,1.149429066,NAN,NAN,0.833529691,NAN,NAN,NAN,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,NAN
43,NAN,1.396445033,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,NAN,NAN,0.833529691,NAN,NAN,0.500023263,NAN,NAN,1.442593755,NAN,NAN,NAN,NAN,NAN,NAN,0.923155661,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,NAN
44,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,NAN,NAN,0.833529691,NAN,NAN,0.500023263,0.500023263,NAN,1.226317006,NAN,NAN,NAN,1.489366901,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,NAN
45,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,NAN,NAN,0.833529691,NAN,NAN,0.500023263,0.500023263,NAN,1.226317006,NAN,NAN,NAN,1.489366901,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,NAN
46,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,NAN,NAN,0.833529691,NAN,NAN,0.500023263,0.500023263,NAN,1.226317006,NAN,NAN,NAN,1.489366901,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,0.800141182,NAN,NAN,NAN,NAN
47,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,1.444571597,NAN,0.833529691,NAN,NAN,0.500023263,0.500023263,NAN,1.226317006,NAN,NAN,NAN,1.489366901,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
48,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,1.444571597,NAN,0.833529691,NAN,NAN,NAN,0.500023263,NAN,1.226317006,NAN,NAN,NAN,1.489366901,1.760119101,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
49,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.052451257,1.280119945,1.149429066,1.444571597,NAN,0.833529691,NAN,NAN,NAN,NAN,NAN,1.226317006,NAN,NAN,NAN,1.489366901,1.760119101,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
50,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.280119945,1.149429066,1.444571597,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
51,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.985347336,1.280119945,1.149429066,1.444571597,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,NAN,NAN,NAN,NAN,NAN,NAN,0.666429692,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
52,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.280119945,1.149429066,1.444571597,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,NAN,NAN,NAN,NAN,NAN,NAN,0.666429692,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
53,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.280119945,0.98977894,1.444571597,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,0.666429692,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
54,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.280119945,0.98977894,1.444571597,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,0.666429692,NAN,NAN,0.500023263,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
55,NAN,1.069776606,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,NAN,0.98977894,1.444571597,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,1.226317006,NAN,NAN,0.933314126,1.489366901,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,0.666429692,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
56,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.274047127,0.98977894,1.444571597,NAN,NAN,NAN,0.500023263,NAN,NAN,NAN,0.846092539,NAN,NAN,0.933314126,0.858922975,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
57,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.274047127,0.98977894,1.444571597,NAN,NAN,NAN,0.500023263,NAN,NAN,0.500023263,0.846092539,0.874772199,NAN,0.933314126,0.858922975,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
58,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.127068369,0.985347336,1.274047127,0.98977894,1.444571597,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.846092539,0.874772199,NAN,0.933314126,0.858922975,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.916612809,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
59,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.101059132,1.127068369,0.985347336,1.274047127,0.98977894,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.846092539,0.874772199,NAN,0.933314126,0.858922975,1.760119101,0.571447881,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
60,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.101059132,1.127068369,0.985347336,1.274047127,0.98977894,0.923061832,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.846092539,0.874772199,NAN,0.933314126,0.858922975,0.765936628,0.571447881,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
61,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.101059132,1.127068369,0.985347336,1.274047127,0.98977894,0.923061832,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.846092539,0.874772199,NAN,0.933314126,0.858922975,0.765936628,0.571447881,0.666447872,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
62,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.101059132,1.127068369,0.985347336,1.274047127,0.98977894,0.923061832,NAN,NAN,NAN,NAN,NAN,NAN,0.500023263,0.846092539,0.874772199,0.666447872,0.933314126,0.858922975,0.765936628,NAN,0.666447872,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
63,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.101059132,1.127068369,3.298246618,1.274047127,0.98977894,0.923061832,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.846092539,0.874772199,0.666447872,NAN,0.858922975,0.765936628,NAN,0.666447872,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
64,NAN,0.816506653,NAN,NAN,NAN,NAN,NAN,NAN,1.224488075,NAN,1.101059132,1.212149881,3.298246618,1.274047127,0.98977894,0.923061832,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.846092539,0.874772199,0.666447872,1.555448226,0.858922975,0.765936628,NAN,0.666447872,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.87262072,NAN,NAN,NAN,NAN,NAN,NAN,NAN
