,ñkäCìπ,ê¬êX,ä‚éË,ã{èÈ,èHìc,éRå`,ïüìá,àÔèÈ,ì»ñÿ,åQîn,çÈã ,êÁót,ìåãû,ê_ìﬁêÏ,êVäÉ,ïxéR,êŒêÏ,ïüà‰,éRóú,í∑ñÏ,äÚïå,ê√â™,à§ím,éOèd,é†âÍ,ãûìs,ëÂç„,ï∫å…,ìﬁó«,òaâÃéR,íπéÊ,ìáç™,â™éR,çLìá,éRå˚,ìøìá,çÅêÏ,à§ïQ,çÇím,ïüâ™,ç≤âÍ,í∑çË,åFñ{,ëÂï™,ã{çË,é≠éôìá,â´ìÍ
òaâÃéR,0.0,2.7397260274,2.7397260274,2.7397260274,0.0,0.0,2.7397260274,5.47945205479,8.21917808219,2.7397260274,16.4383561644,41.095890411,463.01369863,95.8904109589,5.47945205479,8.21917808219,16.4383561644,10.9589041096,2.7397260274,8.21917808219,19.1780821918,38.3561643836,139.726027397,515.068493151,295.890410959,326.02739726,37463.0136986,802.739726027,912.328767123,145704.109589,2.7397260274,2.7397260274,32.8767123288,49.3150684932,16.4383561644,147.945205479,8.21917808219,2.7397260274,0.0,49.3150684932,2.7397260274,2.7397260274,10.9589041096,5.47945205479,0.0,8.21917808219,0.0
íπéÊ,0.0,0.0,0.0,2.7397260274,0.0,0.0,0.0,2.7397260274,2.7397260274,0.0,5.47945205479,5.47945205479,1021.91780822,32.8767123288,2.7397260274,5.47945205479,5.47945205479,5.47945205479,0.0,8.21917808219,8.21917808219,24.6575342466,71.2328767123,0.0,10.9589041096,205.479452055,1000.0,2323.28767123,2.7397260274,2.7397260274,87186.3013699,1723.28767123,410.95890411,287.671232877,32.8767123288,21.9178082192,19.1780821918,8.21917808219,2.7397260274,82.1917808219,2.7397260274,5.47945205479,10.9589041096,5.47945205479,0.0,8.21917808219,0.0
ìáç™,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,0.0,0.0,5.47945205479,5.47945205479,821.917808219,30.1369863014,2.7397260274,443.835616438,5.47945205479,2.7397260274,0.0,2.7397260274,8.21917808219,27.397260274,79.4520547945,0.0,8.21917808219,87.6712328767,747.945205479,158.904109589,0.0,2.7397260274,1679.45205479,88484.9315068,287.671232877,1400.0,569.863013699,5.47945205479,567.123287671,5.47945205479,2.7397260274,156.164383562,2.7397260274,8.21917808219,10.9589041096,8.21917808219,0.0,8.21917808219,0.0
â™éR,57.5342465753,5.47945205479,10.9589041096,21.9178082192,2.7397260274,5.47945205479,16.4383561644,24.6575342466,24.6575342466,16.4383561644,63.0136986301,139.726027397,3172.60273973,504.109589041,21.9178082192,32.8767123288,49.3150684932,35.6164383562,8.21917808219,38.3561643836,68.4931506849,197.260273973,778.082191781,8.21917808219,1238.35616438,1682.19178082,5739.7260274,7550.68493151,482.191780822,32.8767123288,416.438356164,564.383561644,283178.082192,11912.3287671,410.95890411,150.684931507,6367.12328767,446.575342466,252.054794521,917.808219178,35.6164383562,54.7945205479,131.506849315,73.9726027397,13.698630137,131.506849315,123.287671233
çLìá,109.589041096,16.4383561644,21.9178082192,71.2328767123,5.47945205479,8.21917808219,32.8767123288,41.095890411,46.5753424658,24.6575342466,98.6301369863,273.97260274,5613.69863014,860.273972603,38.3561643836,63.0136986301,79.4520547945,52.0547945205,13.698630137,57.5342465753,101.369863014,284.931506849,1084.93150685,16.4383561644,136.98630137,1156.16438356,5052.05479452,1895.89041096,27.397260274,46.5753424658,290.410958904,1895.89041096,11808.2191781,869526.027397,11161.6438356,567.123287671,391.780821918,2912.32876712,79.4520547945,2947.94520548,87.6712328767,145.205479452,293.150684932,186.301369863,21.9178082192,306.849315068,180.821917808
éRå˚,0.0,2.7397260274,5.47945205479,10.9589041096,2.7397260274,2.7397260274,8.21917808219,19.1780821918,13.698630137,5.47945205479,30.1369863014,68.4931506849,1690.4109589,232.876712329,8.21917808219,16.4383561644,24.6575342466,16.4383561644,5.47945205479,21.9178082192,35.6164383562,87.6712328767,331.506849315,5.47945205479,49.3150684932,315.068493151,1224.65753425,441.095890411,16.4383561644,16.4383561644,32.8767123288,575.342465753,410.95890411,10673.9726027,200989.041096,16.4383561644,52.0547945205,93.1506849315,323.287671233,14668.4931507,43.8356164384,54.7945205479,95.8904109589,1032.87671233,10.9589041096,115.068493151,0.0
ìøìá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,1049.31506849,5.47945205479,0.0,0.0,0.0,0.0,0.0,0.0,189.04109589,5.47945205479,35.6164383562,0.0,0.0,169.863013699,1936.98630137,813.698630137,0.0,158.904109589,2.7397260274,5.47945205479,145.205479452,90.4109589041,16.4383561644,84731.5068493,1241.09589041,200.0,432.876712329,84.9315068493,2.7397260274,5.47945205479,5.47945205479,5.47945205479,0.0,5.47945205479,0.0
çÅêÏ,0.0,2.7397260274,2.7397260274,8.21917808219,0.0,0.0,5.47945205479,8.21917808219,8.21917808219,2.7397260274,19.1780821918,32.8767123288,1920.54794521,123.287671233,5.47945205479,13.698630137,16.4383561644,10.9589041096,2.7397260274,13.698630137,21.9178082192,63.0136986301,1180.82191781,2.7397260274,915.068493151,265.753424658,3890.4109589,947.945205479,2.7397260274,5.47945205479,19.1780821918,567.123287671,6038.35616438,397.260273973,52.0547945205,1452.05479452,139983.561644,1068.49315068,312.328767123,241.095890411,10.9589041096,21.9178082192,600.0,16.4383561644,2.7397260274,43.8356164384,167.123287671
à§ïQ,52.0547945205,0.0,2.7397260274,2.7397260274,0.0,0.0,2.7397260274,2.7397260274,5.47945205479,2.7397260274,10.9589041096,27.397260274,2090.4109589,68.4931506849,2.7397260274,5.47945205479,8.21917808219,5.47945205479,2.7397260274,5.47945205479,10.9589041096,38.3561643836,246.575342466,2.7397260274,19.1780821918,123.287671233,1635.61643836,331.506849315,2.7397260274,2.7397260274,8.21917808219,5.47945205479,449.315068493,2835.61643836,221.917808219,402.739726027,1353.42465753,184980.821918,213.698630137,301.369863014,2.7397260274,5.47945205479,8.21917808219,457.534246575,0.0,21.9178082192,38.3561643836
çÇím,0.0,0.0,0.0,252.054794521,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,5.47945205479,1153.42465753,16.4383561644,0.0,2.7397260274,2.7397260274,2.7397260274,0.0,2.7397260274,5.47945205479,19.1780821918,71.2328767123,0.0,5.47945205479,82.1917808219,849.315068493,1202.73972603,0.0,0.0,2.7397260274,2.7397260274,263.01369863,79.4520547945,323.287671233,224.657534247,306.849315068,410.95890411,103706.849315,120.547945205,2.7397260274,2.7397260274,5.47945205479,24.6575342466,0.0,5.47945205479,0.0
ïüâ™,528.767123288,5.47945205479,5.47945205479,183.561643836,2.7397260274,2.7397260274,10.9589041096,16.4383561644,16.4383561644,8.21917808219,41.095890411,441.095890411,12630.1369863,347.945205479,109.589041096,49.3150684932,252.054794521,68.4931506849,5.47945205479,90.4109589041,90.4109589041,410.95890411,2534.24657534,21.9178082192,156.164383562,1372.60273973,6578.08219178,1515.06849315,24.6575342466,52.0547945205,82.1917808219,156.164383562,936.98630137,2920.54794521,13668.4931507,90.4109589041,238.356164384,317.808219178,120.547945205,2094868.49315,23430.1369863,6712.32876712,8895.89041096,7542.46575342,2435.61643836,3482.19178082,1969.8630137
ç≤âÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,5.47945205479,424.657534247,16.4383561644,0.0,2.7397260274,2.7397260274,2.7397260274,0.0,2.7397260274,5.47945205479,19.1780821918,54.7945205479,2.7397260274,10.9589041096,73.9726027397,183.561643836,68.4931506849,2.7397260274,2.7397260274,2.7397260274,2.7397260274,35.6164383562,87.6712328767,43.8356164384,2.7397260274,10.9589041096,2.7397260274,0.0,23978.0821918,110980.821918,2106.84931507,315.068493151,189.04109589,2.7397260274,887.671232877,52.0547945205
í∑çË,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,5.47945205479,1794.52054795,24.6575342466,0.0,2.7397260274,2.7397260274,5.47945205479,0.0,2.7397260274,8.21917808219,24.6575342466,293.150684932,2.7397260274,8.21917808219,95.8904109589,693.150684932,583.561643836,0.0,2.7397260274,8.21917808219,5.47945205479,54.7945205479,142.465753425,52.0547945205,5.47945205479,19.1780821918,5.47945205479,2.7397260274,6616.43835616,1884.93150685,397641.09589,2106.84931507,104.109589041,186.301369863,145.205479452,71.2328767123
åFñ{,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7397260274,2.7397260274,0.0,5.47945205479,5.47945205479,2531.50684932,30.1369863014,2.7397260274,10.9589041096,8.21917808219,8.21917808219,0.0,5.47945205479,13.698630137,49.3150684932,446.575342466,2.7397260274,27.397260274,164.383561644,1213.69863014,334.246575342,2.7397260274,8.21917808219,10.9589041096,10.9589041096,134.246575342,282.191780822,95.8904109589,5.47945205479,35.6164383562,8.21917808219,5.47945205479,9394.52054795,317.808219178,2254.79452055,236378.082192,797.260273973,605.479452055,2112.32876712,87.6712328767
